Title,Views,Notes
Electric Vehicle Population Data,5568,"State of Washington —
This dataset shows the Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) that are currently registered through Washington State Department..."
Crime Data from 2020 to Present,4106,"City of Los Angeles —
Starting on March 7th, 2024, the Los Angeles Police Department (LAPD) will adopt a new Records Management System for reporting crimes and arrests. This new system is..."
Inventory of Owned and Leased Properties (IOLP),3754,"General Services Administration —
The Inventory of Owned and Leased Properties (IOLP) allows users to search properties owned and leased by the General Services Administration (GSA) across the United..."
National Death Index,3042,"U.S. Department of Health & Human Services —
The National Death Index (NDI) is a centralized database of death record information on file in state vital statistics offices. Working with these state offices, the..."
Air Quality,2667,"City of New York —
Dataset contains information on New York City air quality surveillance data. Air pollution is one of the most important environmental threats to urban populations..."
Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6,2637,"U.S. Environmental Protection Agency —
The datasets comprise greenhouse gas (GHG) emission factors (Factors) for 1,016 U.S. commodities as defined by the 2017 version of the North American Industry..."
Dynamic Small Business Search (DSBS),2264,"Small Business Administration —
The Small Business Administration maintains the Dynamic Small Business Search (DSBS) database. As a small business registers in the System for Award Management, there..."
Fruit and Vegetable Prices,2185,"Department of Agriculture —
How much do fruits and vegetables cost? ERS estimated average prices for 153 commonly consumed fresh and processed fruits and vegetables."
National Obesity By State,1898,"Lake County, Illinois —
National Obesity Percentages by State. Explanation of Field Attributes:Obesity - The percent of the state population that is considered obese from the 2015 CDC BRFSS..."
Warehouse and Retail Sales,1837,"Montgomery County of Maryland —
This dataset contains a list of sales and movement data by item and department appended monthly. Update Frequency : Monthly"
Border Crossing Entry Data,1733,"Department of Transportation —
The Bureau of Transportation Statistics (BTS) Border Crossing Data provide summary statistics for inbound crossings at the U.S.-Canada and the U.S.-Mexico border at..."
Motor Vehicle Collisions - Crashes,1630,"City of New York —
The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain..."
Lottery Powerball Winning Numbers: Beginning 2010,1557,"State of New York —
Go to http://on.ny.gov/1GpWiHD on the New York Lottery website for past Powerball results and payouts."
MTA Bus Fare Evasion: Beginning 2019,1494,"State of New York —
The bus fare evasion (BFE) rate is the estimated percentage of riders who illegally board buses. It is calculated systemwide quarterly using Automated Passenger..."
"Death rates for suicide, by sex, race, Hispanic origin, and age: United States",1486,"U.S. Department of Health & Human Services —
Data on death rates for suicide, by selected population characteristics. Please refer to the PDF or Excel version of this table in the HUS 2019 Data Finder..."
